Policy ID,Mapped Section,Confidence,Rationale,Source,Status,Description
008fd8a9-4766-4cc3-a8d4-006d4c0340da,4.12 Production Access Management,26,High confidence match with '4.12 Production Access Management'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
008fd8a9-4766-4cc3-a8d4-006d4c0340da,4.17 Asset Tags,50,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
008fd8a9-4766-4cc3-a8d4-006d4c0340da,4.17 Asset Tags,64,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
009c3b4c-16cf-4c85-9b1d-4ab39fdbfb8b,,23,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
009c3b4c-16cf-4c85-9b1d-4ab39fdbfb8b,3.0 Purpose,51,Matched with '3.0 Purpose' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
009c3b4c-16cf-4c85-9b1d-4ab39fdbfb8b,3.0 Purpose,65,"Matched with '3.0 Purpose' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00a4e900-ca63-470f-9607-b7ad5cdd3ab3,4.19 Cloud Work Planning,33,High confidence match with '4.19 Cloud Work Planning'. The policy shares key concepts and lexical terms like: cloud.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00a4e900-ca63-470f-9607-b7ad5cdd3ab3,4.17 Asset Tags,54,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00a4e900-ca63-470f-9607-b7ad5cdd3ab3,4.17 Asset Tags,66,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00a6ace3-35ea-4d46-9814-221875ffcd47,4.3 Oversight and Accountability,32,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: and.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00a6ace3-35ea-4d46-9814-221875ffcd47,6.0 Exceptions,56,Matched with '6.0 Exceptions' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00a6ace3-35ea-4d46-9814-221875ffcd47,6.0 Exceptions,67,"Matched with '6.0 Exceptions' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00cd7228-1641-4a8c-aff8-523501693ab1,4.13 Technology Approval and Third-Party Components,25,High confidence match with '4.13 Technology Approval and Third-Party Components'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00cd7228-1641-4a8c-aff8-523501693ab1,4.17 Asset Tags,49,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00cd7228-1641-4a8c-aff8-523501693ab1,4.17 Asset Tags,63,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00d4e54a-19de-42d4-aabe-9bed2acb827b,,24,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00d4e54a-19de-42d4-aabe-9bed2acb827b,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00d4e54a-19de-42d4-aabe-9bed2acb827b,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
00eb12be-f74f-4c18-b80b-4720bbfc5f69,4.3 Oversight and Accountability,26,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
00eb12be-f74f-4c18-b80b-4720bbfc5f69,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
00eb12be-f74f-4c18-b80b-4720bbfc5f69,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01000c2f-f3dd-466c-971b-c48845a2efed,,23,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01000c2f-f3dd-466c-971b-c48845a2efed,6.0 Exceptions,50,Matched with '6.0 Exceptions' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01000c2f-f3dd-466c-971b-c48845a2efed,6.0 Exceptions,63,"Matched with '6.0 Exceptions' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
010fa450-e1b9-4890-a14e-b6062e709a9f,4.8 Security Principals for CSP Administration,26,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
010fa450-e1b9-4890-a14e-b6062e709a9f,4.14 Logging,51,Matched with '4.14 Logging' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
010fa450-e1b9-4890-a14e-b6062e709a9f,4.14 Logging,65,"Matched with '4.14 Logging' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0116721e-9ddb-43f2-abd6-f4606acce5ce,4.7 Identity and Access Management,26,High confidence match with '4.7 Identity and Access Management'. The policy shares key concepts and lexical terms like: access.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0116721e-9ddb-43f2-abd6-f4606acce5ce,4.17 Asset Tags,51,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0116721e-9ddb-43f2-abd6-f4606acce5ce,4.17 Asset Tags,64,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0132bbb2-c733-4c36-9c5d-c58967c7d1a6,4.7 Identity and Access Management,28,High confidence match with '4.7 Identity and Access Management'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0132bbb2-c733-4c36-9c5d-c58967c7d1a6,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0132bbb2-c733-4c36-9c5d-c58967c7d1a6,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01438813-fcd2-4afc-a3cf-2906f142c24e,4.13 Technology Approval and Third-Party Components,25,High confidence match with '4.13 Technology Approval and Third-Party Components'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01438813-fcd2-4afc-a3cf-2906f142c24e,4.17 Asset Tags,51,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01438813-fcd2-4afc-a3cf-2906f142c24e,4.17 Asset Tags,64,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01684931-0ea8-4e1b-bdd2-8927bc278f5f,4.8 Security Principals for CSP Administration,28,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01684931-0ea8-4e1b-bdd2-8927bc278f5f,4.4 Approved CSPs,52,Matched with '4.4 Approved CSPs' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01684931-0ea8-4e1b-bdd2-8927bc278f5f,4.10 Resource Access,65,"Matched with '4.10 Resource Access' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
016ab87c-b917-434d-a58b-128fa0e78b98,4.19 Cloud Work Planning,36,High confidence match with '4.19 Cloud Work Planning'. The policy shares key concepts and lexical terms like: cloud.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
016ab87c-b917-434d-a58b-128fa0e78b98,4.17 Asset Tags,54,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
016ab87c-b917-434d-a58b-128fa0e78b98,4.17 Asset Tags,66,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
016d2702-232b-4332-a41d-2767cb1f6205,4.8 Security Principals for CSP Administration,25,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
016d2702-232b-4332-a41d-2767cb1f6205,4.15 SIEM Integration,51,Matched with '4.15 SIEM Integration' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
016d2702-232b-4332-a41d-2767cb1f6205,4.15 SIEM Integration,64,"Matched with '4.15 SIEM Integration' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01740791-ebd5-417a-bbfe-e1fdfc322dcc,4.8 Security Principals for CSP Administration,25,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01740791-ebd5-417a-bbfe-e1fdfc322dcc,4.17 Asset Tags,54,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01740791-ebd5-417a-bbfe-e1fdfc322dcc,4.17 Asset Tags,67,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0199900b-03d9-4dc3-9d6b-272289f74a57,4.8 Security Principals for CSP Administration,25,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0199900b-03d9-4dc3-9d6b-272289f74a57,6.0 Exceptions,51,Matched with '6.0 Exceptions' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0199900b-03d9-4dc3-9d6b-272289f74a57,4.17 Asset Tags,64,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01df5ca7-2413-4cde-8ccf-1c3beda595a5,4.8 Security Principals for CSP Administration,26,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01df5ca7-2413-4cde-8ccf-1c3beda595a5,4.11 Privileged Identity Management,52,Matched with '4.11 Privileged Identity Management' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01df5ca7-2413-4cde-8ccf-1c3beda595a5,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01eae80a-f04f-4fe2-a5ad-00a414f89c5e,2.1 Shared Responsibility Model,26,High confidence match with '2.1 Shared Responsibility Model'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01eae80a-f04f-4fe2-a5ad-00a414f89c5e,4.17 Asset Tags,51,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01eae80a-f04f-4fe2-a5ad-00a414f89c5e,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01ec67ad-c43a-47bc-9117-f48a7748e920,4.3 Oversight and Accountability,31,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: and.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01ec67ad-c43a-47bc-9117-f48a7748e920,4.14 Logging,53,Matched with '4.14 Logging' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01ec67ad-c43a-47bc-9117-f48a7748e920,4.14 Logging,65,"Matched with '4.14 Logging' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
01fb7eb5-26d1-4cfa-8c8e-eae7d5fa5683,4.3 Oversight and Accountability,25,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
01fb7eb5-26d1-4cfa-8c8e-eae7d5fa5683,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
01fb7eb5-26d1-4cfa-8c8e-eae7d5fa5683,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02149f11-1502-4acc-a4f8-4470861f4ef3,,24,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02149f11-1502-4acc-a4f8-4470861f4ef3,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02149f11-1502-4acc-a4f8-4470861f4ef3,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02188d88-6cc0-4666-8958-3aa0149acdef,4.12 Production Access Management,27,High confidence match with '4.12 Production Access Management'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02188d88-6cc0-4666-8958-3aa0149acdef,4.17 Asset Tags,50,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02188d88-6cc0-4666-8958-3aa0149acdef,4.17 Asset Tags,64,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0224a383-4c7c-4dca-b52c-f6fab8014666,4.8 Security Principals for CSP Administration,30,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: for.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0224a383-4c7c-4dca-b52c-f6fab8014666,6.0 Exceptions,55,Matched with '6.0 Exceptions' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0224a383-4c7c-4dca-b52c-f6fab8014666,6.0 Exceptions,67,"Matched with '6.0 Exceptions' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02325f3d-6c35-4818-aa69-c09b8fb6e981,4.8 Security Principals for CSP Administration,27,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02325f3d-6c35-4818-aa69-c09b8fb6e981,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02325f3d-6c35-4818-aa69-c09b8fb6e981,4.17 Asset Tags,65,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
023dae86-1d24-4576-92b2-b92299a009e7,4.3 Oversight and Accountability,32,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: and.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
023dae86-1d24-4576-92b2-b92299a009e7,4.14 Logging,53,Matched with '4.14 Logging' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
023dae86-1d24-4576-92b2-b92299a009e7,4.14 Logging,66,"Matched with '4.14 Logging' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
024045e3-dfa3-4109-9d68-e7fcf3c6c4d1,,24,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
024045e3-dfa3-4109-9d68-e7fcf3c6c4d1,4.17 Asset Tags,53,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
024045e3-dfa3-4109-9d68-e7fcf3c6c4d1,4.17 Asset Tags,66,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
024d0f1a-760e-4d8a-a14f-cf33b923cc50,4.3 Oversight and Accountability,29,High confidence match with '4.3 Oversight and Accountability'. The policy shares key concepts and lexical terms like: and.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
024d0f1a-760e-4d8a-a14f-cf33b923cc50,4.14 Logging,54,Matched with '4.14 Logging' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
024d0f1a-760e-4d8a-a14f-cf33b923cc50,4.14 Logging,66,"Matched with '4.14 Logging' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0252781c-a551-4304-ad80-b60fadb3e51e,4.8 Security Principals for CSP Administration,32,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: for.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0252781c-a551-4304-ad80-b60fadb3e51e,4.10 Resource Access,56,Matched with '4.10 Resource Access' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0252781c-a551-4304-ad80-b60fadb3e51e,4.10 Resource Access,66,"Matched with '4.10 Resource Access' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
027a2049-cb36-4d7a-aea7-2a8e6e84aeae,4.8 Security Principals for CSP Administration,27,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
027a2049-cb36-4d7a-aea7-2a8e6e84aeae,4.17 Asset Tags,52,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
027a2049-cb36-4d7a-aea7-2a8e6e84aeae,4.17 Asset Tags,66,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0280e32d-9366-4700-9763-a03be7196614,4.1 Roles and Responsibilities,26,High confidence match with '4.1 Roles and Responsibilities'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0280e32d-9366-4700-9763-a03be7196614,4.14 Logging,54,Matched with '4.14 Logging' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0280e32d-9366-4700-9763-a03be7196614,4.14 Logging,66,"Matched with '4.14 Logging' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02889fff-fde0-4b22-b63c-08d49724af32,4.13 Technology Approval and Third-Party Components,27,High confidence match with '4.13 Technology Approval and Third-Party Components'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02889fff-fde0-4b22-b63c-08d49724af32,4.11 Privileged Identity Management,54,Matched with '4.11 Privileged Identity Management' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02889fff-fde0-4b22-b63c-08d49724af32,4.11 Privileged Identity Management,66,"Matched with '4.11 Privileged Identity Management' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
028a45a7-ad8d-48f3-9012-2417defd324b,4.8 Security Principals for CSP Administration,34,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: for.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
028a45a7-ad8d-48f3-9012-2417defd324b,4.10 Resource Access,55,Matched with '4.10 Resource Access' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
028a45a7-ad8d-48f3-9012-2417defd324b,4.17 Asset Tags,66,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
028edd58-52b0-4b6b-8e18-80c7ca9d7cdc,,24,No confident mapping found. Lexical and semantic similarity scores are below the threshold.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
028edd58-52b0-4b6b-8e18-80c7ca9d7cdc,4.15 SIEM Integration,51,Matched with '4.15 SIEM Integration' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
028edd58-52b0-4b6b-8e18-80c7ca9d7cdc,4.15 SIEM Integration,65,"Matched with '4.15 SIEM Integration' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
0293090c-c413-4859-b4da-f31aa1ded837,4.8 Security Principals for CSP Administration,34,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: for.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
0293090c-c413-4859-b4da-f31aa1ded837,4.10 Resource Access,56,Matched with '4.10 Resource Access' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
0293090c-c413-4859-b4da-f31aa1ded837,4.17 Asset Tags,67,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02b159ed-59df-4924-8b96-868ea6eacf93,4.19 Cloud Work Planning,38,High confidence match with '4.19 Cloud Work Planning'. The policy shares key concepts and lexical terms like: cloud.,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02b159ed-59df-4924-8b96-868ea6eacf93,4.17 Asset Tags,55,Matched with '4.17 Asset Tags' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02b159ed-59df-4924-8b96-868ea6eacf93,4.17 Asset Tags,67,"Matched with '4.17 Asset Tags' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
02b30060-369f-4ffe-b933-aae1c689a2ee,5.0 Enforcement,47,High confidence match with '5.0 Enforcement'. The policy shares key concepts and lexical terms like: enforcement.,Weighted,Consistent,All mappings agree on section: 5.0 Enforcement
02b30060-369f-4ffe-b933-aae1c689a2ee,5.0 Enforcement,54,Matched with '5.0 Enforcement' using combined semantic and lexical similarity.,HF Lexical,Consistent,All mappings agree on section: 5.0 Enforcement
02b30060-369f-4ffe-b933-aae1c689a2ee,5.0 Enforcement,65,"Matched with '5.0 Enforcement' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Consistent,All mappings agree on section: 5.0 Enforcement
02c6acab-8581-41b5-922c-91ba79eb0f01,4.8 Security Principals for CSP Administration,26,High confidence match with '4.8 Security Principals for CSP Administration'. The policy shares key concepts and lexical terms like: .,Weighted,Varied,Mappings differ across sources. Selected highest confidence section.
02c6acab-8581-41b5-922c-91ba79eb0f01,6.0 Exceptions,54,Matched with '6.0 Exceptions' using combined semantic and lexical similarity.,HF Lexical,Varied,Mappings differ across sources. Selected highest confidence section.
02c6acab-8581-41b5-922c-91ba79eb0f01,6.0 Exceptions,66,"Matched with '6.0 Exceptions' using combined semantic, lexical, embedding, and feedback scores.",Advanced,Varied,Mappings differ across sources. Selected highest confidence section.
