CSV Source,Policy Name,Mapped Section,Confidence,Accuracy,AI Rationale
mapped_policies_output_hf_lexical.csv,ALB does not drop HTTP headers,Page 3,0.78,High,Content mapped to PDF section on page 3 with confidence 0.78.
mapped_policies_output_hf_lexical.csv,ALB does not redirect HTTP requests into HTTPS ones,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,ALB is not configured with the defensive or strictest desync mitigation mode,Page 4,0.91,High,Content mapped to PDF section on page 4 with confidence 0.91.
mapped_policies_output_hf_lexical.csv,API Gateway does not have X-Ray tracing enabled,Page 2,0.96,High,Content mapped to PDF section on page 2 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,API Gateway does not have access logging enabled,Page 2,0.99,High,Content mapped to PDF section on page 2 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,API Gateway method setting is not set to encrypted caching,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,API Gateway stage does not have logging level defined appropriately,Page 4,0.96,High,Content mapped to PDF section on page 4 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,API Library activity,Page 2,0.66,Medium,Content mapped to PDF section on page 2 with confidence 0.66.
mapped_policies_output_hf_lexical.csv,API Management Without Minimum TLS 1.2,Page 3,0.87,High,Content mapped to PDF section on page 3 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,API Management with Public Access,Page 2,0.83,High,Content mapped to PDF section on page 2 with confidence 0.83.
mapped_policies_output_hf_lexical.csv,API keys transmitted over cleartext,Page 2,0.86,High,Content mapped to PDF section on page 2 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,API management services do not use virtual networks,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,API request does not conform to the API specification.,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,API spec includes a 'password' flow in OAuth2 authentication,Page 5,0.98,High,Content mapped to PDF section on page 5 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS  Doc DB not encrypted using Customer Managed Key,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS ACM Certificate with wildcard domain name,Page 2,0.96,High,Content mapped to PDF section on page 2 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS ACM certificate does not enable Create before Destroy,Page 5,0.98,High,Content mapped to PDF section on page 5 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS ACM certificates does not have logging preference,Page 1,0.99,High,Content mapped to PDF section on page 1 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS ALB attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,Page 4,0.86,High,Content mapped to PDF section on page 4 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AWS AMI copying does not use a Customer Managed Key (CMK),Page 1,0.97,High,Content mapped to PDF section on page 1 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS AMI launch permissions are not limited,Page 2,0.92,High,Content mapped to PDF section on page 2 with confidence 0.92.
mapped_policies_output_hf_lexical.csv,AWS AMIs are not encrypted by Key Management Service (KMS) using Customer Managed Keys (CMKs),Page 4,0.84,High,Content mapped to PDF section on page 4 with confidence 0.84.
mapped_policies_output_hf_lexical.csv,AWS API Gateway Domain does not use a modern security policy,Page 5,0.98,High,Content mapped to PDF section on page 5 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS API Gateway REST API execution logging disabled,Page 2,0.97,High,Content mapped to PDF section on page 2 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS API Gateway REST API not configured with AWS Web Application Firewall v2 (AWS WAFv2),Page 4,0.86,High,Content mapped to PDF section on page 4 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AWS API Gateway Rest API attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,Page 4,0.79,High,Content mapped to PDF section on page 4 with confidence 0.79.
mapped_policies_output_hf_lexical.csv,AWS API Gateway V2 has Access Logging is disabled,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS API Gateway caching is disabled,Page 3,0.85,High,Content mapped to PDF section on page 3 with confidence 0.85.
mapped_policies_output_hf_lexical.csv,AWS API Gateway endpoints without client certificate authentication,Page 4,0.94,High,Content mapped to PDF section on page 4 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS API Gateway method lacking authorization or API keys,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS API Gateway method settings do not enable caching,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS API deployments do not enable Create before Destroy,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS API gateway methods are publicly accessible,Page 2,0.99,High,Content mapped to PDF section on page 2 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS API gateway request authorisation is not set,Page 2,0.99,High,Content mapped to PDF section on page 2 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS API gateway request parameter is not validated,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Access Key detected in code,Page 2,0.79,High,Content mapped to PDF section on page 2 with confidence 0.79.
mapped_policies_output_hf_lexical.csv,AWS Access key enabled on root account,Page 2,0.87,High,Content mapped to PDF section on page 2 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,AWS Access logging not enabled on S3 buckets,Page 2,0.94,High,Content mapped to PDF section on page 2 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,"AWS AdministratorAccess policy is used by IAM roles, users, or groups",Page 4,0.96,High,Content mapped to PDF section on page 4 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS Administrators with IAM permissions are unused for 90 days,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Amazon Machine Image (AMI) infected with mining malware,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Amazon Machine Image (AMI) is publicly accessible,Page 2,0.97,High,Content mapped to PDF section on page 2 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS Amazon RDS instances Enhanced Monitoring is disabled,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS App Flow connector profile does not use Customer Managed Keys (CMKs),Page 4,0.96,High,Content mapped to PDF section on page 4 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS App Flow flow does not use Customer Managed Keys (CMKs),Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS AppSync GraphQL API is authenticated with API key,Page 1,0.97,High,Content mapped to PDF section on page 1 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS AppSync attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,Page 4,0.84,High,Content mapped to PDF section on page 4 with confidence 0.84.
mapped_policies_output_hf_lexical.csv,AWS AppSync has field-level logging disabled,Page 2,0.95,High,Content mapped to PDF section on page 2 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS AppSync is not protected by WAF,Page 3,0.83,High,Content mapped to PDF section on page 3 with confidence 0.83.
mapped_policies_output_hf_lexical.csv,AWS AppSync not configured with AWS Web Application Firewall v2 (AWS WAFv2),Page 4,0.94,High,Content mapped to PDF section on page 4 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS AppSync's logging is disabled,Page 2,0.82,High,Content mapped to PDF section on page 2 with confidence 0.82.
mapped_policies_output_hf_lexical.csv,AWS Application Load Balancer (ALB) is not configured to drop HTTP headers,Page 4,0.93,High,Content mapped to PDF section on page 4 with confidence 0.93.
mapped_policies_output_hf_lexical.csv,AWS Application Load Balancer (ALB) is not using the latest predefined security policy,Page 4,0.85,High,Content mapped to PDF section on page 4 with confidence 0.85.
mapped_policies_output_hf_lexical.csv,AWS Application Load Balancer (ALB) not configured with AWS Web Application Firewall v2 (AWS WAFv2),Page 4,0.81,High,Content mapped to PDF section on page 4 with confidence 0.81.
mapped_policies_output_hf_lexical.csv,AWS Appsync API Cache is not encrypted at rest,Page 3,0.95,High,Content mapped to PDF section on page 3 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS Appsync API Cache is not encrypted in transit,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Athena Workgroup data encryption at rest not configured,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Aurora MySQL DB cluster does not publish audit logs to CloudWatch Logs,Page 4,0.92,High,Content mapped to PDF section on page 4 with confidence 0.92.
mapped_policies_output_hf_lexical.csv,AWS Aurora PostgreSQL exposed to local file read vulnerability,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Auto Scaling group launch configuration configured with Instance Metadata Service hop count greater than 1,Page 4,0.75,High,Content mapped to PDF section on page 4 with confidence 0.75.
mapped_policies_output_hf_lexical.csv,AWS Auto Scaling group launch configuration has public IP address assignment enabled,Page 4,0.85,High,Content mapped to PDF section on page 4 with confidence 0.85.
mapped_policies_output_hf_lexical.csv,AWS Auto Scaling group launch configuration not configured with Instance Metadata Service v2 (IMDSv2),Page 4,0.81,High,Content mapped to PDF section on page 4 with confidence 0.81.
mapped_policies_output_hf_lexical.csv,AWS Batch Job is defined as a privileged container,Page 2,0.99,High,Content mapped to PDF section on page 2 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Bedrock Custom model encrypted with Customer Managed Key (CMK) is not enabled for regular rotation,Page 4,0.78,High,Content mapped to PDF section on page 4 with confidence 0.78.
mapped_policies_output_hf_lexical.csv,AWS Bedrock agent is not associated with Bedrock guardrails,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) RSA certificate key length less than 2048,Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) contains certificate pending validation,Page 4,0.94,High,Content mapped to PDF section on page 4 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) has certificates expiring in 30 days or less,Page 4,0.92,High,Content mapped to PDF section on page 4 with confidence 0.92.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) has certificates with Certificate Transparency Logging disabled,Page 4,0.8,High,Content mapped to PDF section on page 4 with confidence 0.8.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) has expired certificates,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Certificate Manager (ACM) has invalid or failed certificate,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Classic Load Balancer is in use for internet-facing applications,Page 4,0.96,High,Content mapped to PDF section on page 4 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS Classic Load Balancer not configured to span multiple Availability Zones,Page 4,0.89,High,Content mapped to PDF section on page 4 with confidence 0.89.
mapped_policies_output_hf_lexical.csv,AWS CloudFormation stack configured without SNS topic,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS CloudFormation template contains globally open resources,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudFront attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,Page 4,0.83,High,Content mapped to PDF section on page 4 with confidence 0.83.
mapped_policies_output_hf_lexical.csv,AWS CloudFront distribution is using insecure SSL protocols for HTTPS communication,Page 4,0.87,High,Content mapped to PDF section on page 4 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,AWS CloudFront distribution with access logging disabled,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudFront distributions does not have a default root object configured,Page 4,0.91,High,Content mapped to PDF section on page 4 with confidence 0.91.
mapped_policies_output_hf_lexical.csv,AWS CloudFront not configured with AWS Web Application Firewall v2 (AWS WAFv2),Page 4,0.93,High,Content mapped to PDF section on page 4 with confidence 0.93.
mapped_policies_output_hf_lexical.csv,AWS CloudFront origin protocol policy does not enforce HTTPS-only,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS CloudFront response header policy does not enforce Strict Transport Security,Page 4,0.87,High,Content mapped to PDF section on page 4 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,AWS CloudFront viewer protocol policy is not configured with HTTPS,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS CloudFront web distribution using insecure TLS version,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudFront web distribution with AWS Web Application Firewall (AWS WAF) service disabled,Page 4,0.84,High,Content mapped to PDF section on page 4 with confidence 0.84.
mapped_policies_output_hf_lexical.csv,AWS CloudFront web distribution with default SSL certificate,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudFront web distribution with geo restriction disabled,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail S3 bucket encrypted with Customer Managed Key (CMK) that is scheduled for deletion,Page 4,0.79,High,Content mapped to PDF section on page 4 with confidence 0.79.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail S3 buckets have not enabled MFA Delete,Page 1,0.97,High,Content mapped to PDF section on page 1 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail bucket is publicly accessible,Page 2,0.96,High,Content mapped to PDF section on page 2 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail does not define an SNS Topic,Page 3,0.93,High,Content mapped to PDF section on page 3 with confidence 0.93.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail is not enabled on the account,Page 2,0.94,High,Content mapped to PDF section on page 2 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail is not enabled with multi trail and not capturing all management events,Page 4,0.86,High,Content mapped to PDF section on page 4 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail log validation is not enabled in all regions,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail logging is disabled,Page 3,0.85,High,Content mapped to PDF section on page 3 with confidence 0.85.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail logs are not encrypted using Customer Master Keys (CMKs),Page 4,0.96,High,Content mapped to PDF section on page 4 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail logs should integrate with CloudWatch for all regions,Page 4,0.95,High,Content mapped to PDF section on page 4 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS CloudTrail trail logs is not integrated with CloudWatch Log,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CloudWatch Log groups not configured with definite retention days,Page 4,0.94,High,Content mapped to PDF section on page 4 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS CloudWatch Log groups not encrypted by Customer Managed Key (CMK),Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS CloudWatch log groups retention set to less than 365 days,Page 5,0.98,High,Content mapped to PDF section on page 5 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Cloudfront Distribution with S3 have Origin Access set to disabled,Page 4,0.94,High,Content mapped to PDF section on page 4 with confidence 0.94.
mapped_policies_output_hf_lexical.csv,AWS Cloudfront distribution is disabled,Page 2,0.91,High,Content mapped to PDF section on page 2 with confidence 0.91.
mapped_policies_output_hf_lexical.csv,AWS Cloudsearch does not use HTTPs,Page 2,0.83,High,Content mapped to PDF section on page 2 with confidence 0.83.
mapped_policies_output_hf_lexical.csv,AWS Cloudsearch does not use the latest (Transport Layer Security) TLS,Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS Code Artifact Domain is not encrypted by KMS using a Customer Managed Key (CMK),Page 4,0.9,High,Content mapped to PDF section on page 4 with confidence 0.9.
mapped_policies_output_hf_lexical.csv,AWS CodeBuild project environment privileged mode is enabled,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS CodeBuild project environment variables contain plaintext AWS credentials,Page 4,0.89,High,Content mapped to PDF section on page 4 with confidence 0.89.
mapped_policies_output_hf_lexical.csv,AWS CodeBuild project not configured with logging configuration,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS CodeGuru Reviewer repository association does not use a Customer Managed Key (CMK),Page 4,0.88,High,Content mapped to PDF section on page 4 with confidence 0.88.
mapped_policies_output_hf_lexical.csv,AWS CodePipeline artifactStore is not encrypted by Key Management Service (KMS) using a Customer Managed Key (CMK),Page 4,0.76,High,Content mapped to PDF section on page 4 with confidence 0.76.
mapped_policies_output_hf_lexical.csv,AWS Codecommit branch changes has less than 2 approvals,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Codecommit is not associated with an approval rule,Page 1,0.99,High,Content mapped to PDF section on page 1 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Cognito identity pool allows unauthenticated guest access,Page 4,0.99,High,Content mapped to PDF section on page 4 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Cognito service role does not have identity pool verification,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Cognito service role with wide privileges does not validate authentication,Page 4,0.89,High,Content mapped to PDF section on page 4 with confidence 0.89.
mapped_policies_output_hf_lexical.csv,AWS Compute Instance (EC2/Lambda) Assigned CloudFormation Creation Permissions Which Could Lead to Privilege Escalation,Page 4,0.72,High,Content mapped to PDF section on page 4 with confidence 0.72.
mapped_policies_output_hf_lexical.csv,AWS Compute Instance (EC2/Lambda) Assigned Glue DevEndpoint Creation Permissions Which Could Lead to Privilege Escalation,Page 4,0.72,High,Content mapped to PDF section on page 4 with confidence 0.72.
mapped_policies_output_hf_lexical.csv,AWS Compute Instance (EC2/Lambda) Assigned IAM Policy Management Permissions Which Could Lead to Privilege Escalation,Page 4,0.71,High,Content mapped to PDF section on page 4 with confidence 0.71.
mapped_policies_output_hf_lexical.csv,AWS Compute Instance (EC2/Lambda) Assigned Lambda Creation Permissions Which Could Lead to Privilege Escalation,Page 4,0.73,High,Content mapped to PDF section on page 4 with confidence 0.73.
mapped_policies_output_hf_lexical.csv,AWS Compute Instance (EC2/Lambda) Assigned Permissions to Run EC2 Instances Which Could Lead to Privilege Escalation,Page 4,0.72,High,Content mapped to PDF section on page 4 with confidence 0.72.
mapped_policies_output_hf_lexical.csv,AWS Config Recording is disabled,Page 2,0.82,High,Content mapped to PDF section on page 2 with confidence 0.82.
mapped_policies_output_hf_lexical.csv,AWS Config fails to deliver log files,Page 2,0.86,High,Content mapped to PDF section on page 2 with confidence 0.86.
mapped_policies_output_hf_lexical.csv,AWS Config must record all possible resources,Page 2,0.96,High,Content mapped to PDF section on page 2 with confidence 0.96.
mapped_policies_output_hf_lexical.csv,AWS Connect instance not configured with contact flow logs,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Connect instance using publicly accessible S3 bucket,Page 5,0.99,High,Content mapped to PDF section on page 5 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Customer Master Key (CMK) rotation is not enabled,Page 2,0.98,High,Content mapped to PDF section on page 2 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS DAX cluster endpoint does not use TLS (Transport Layer Security),Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS DAX cluster not configured with encryption at rest,Page 1,0.99,High,Content mapped to PDF section on page 1 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS DB instance does not get all minor upgrades automatically,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS DLM cross-region events are not encrypted,Page 2,0.95,High,Content mapped to PDF section on page 2 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS DLM cross-region events are not encrypted with a Customer Managed Key (CMK),Page 4,0.93,High,Content mapped to PDF section on page 4 with confidence 0.93.
mapped_policies_output_hf_lexical.csv,AWS DLM cross-region schedules are not encrypted using a Customer Managed Key (CMK),Page 4,0.91,High,Content mapped to PDF section on page 4 with confidence 0.91.
mapped_policies_output_hf_lexical.csv,AWS DLM-cross region schedules are not encrypted,Page 2,0.99,High,Content mapped to PDF section on page 2 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS DMS replication instance automatic version upgrade disabled,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS DMS replication instance is publicly accessible,Page 1,0.98,High,Content mapped to PDF section on page 1 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS DMS replication task for the source database have logging not set to the minimum severity level,Page 4,0.79,High,Content mapped to PDF section on page 4 with confidence 0.79.
mapped_policies_output_hf_lexical.csv,AWS DMS replication task for the target database have logging not set to the minimum severity level,Page 4,0.79,High,Content mapped to PDF section on page 4 with confidence 0.79.
mapped_policies_output_hf_lexical.csv,AWS Database Migration Service (DMS) has expired certificates,Page 4,0.98,High,Content mapped to PDF section on page 4 with confidence 0.98.
mapped_policies_output_hf_lexical.csv,AWS Database Migration Service endpoint do not have SSL configured,Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
mapped_policies_output_hf_lexical.csv,AWS Default Security Group does not restrict all traffic,Page 1,0.99,High,Content mapped to PDF section on page 1 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS Default VPC is being used,Page 2,0.76,High,Content mapped to PDF section on page 2 with confidence 0.76.
mapped_policies_output_hf_lexical.csv,AWS DocumentDB Cluster is not enabled with data encryption in transit,Page 4,0.95,High,Content mapped to PDF section on page 4 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS DocumentDB cluster deletion protection is disabled,Page 1,0.99,High,Content mapped to PDF section on page 1 with confidence 0.99.
mapped_policies_output_hf_lexical.csv,AWS DocumentDB cluster does not publish audit logs to CloudWatch Logs,Page 4,0.95,High,Content mapped to PDF section on page 4 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS DocumentDB clusters have backup retention period less than 7 days,Page 4,0.95,High,Content mapped to PDF section on page 4 with confidence 0.95.
mapped_policies_output_hf_lexical.csv,AWS DocumentDB logging is not enabled,Page 2,0.87,High,Content mapped to PDF section on page 2 with confidence 0.87.
mapped_policies_output_hf_lexical.csv,AWS DynamoDB encrypted using AWS owned CMK instead of AWS managed CMK,Page 4,0.97,High,Content mapped to PDF section on page 4 with confidence 0.97.
