Policy Name,Confidence Score
AWS AMI copying does not use a Customer Managed Key (CMK),68
AWS AMI launch permissions are not limited,68
AWS AMIs are not encrypted by Key Management Service (KMS) using Customer Managed Keys (CMKs),73
AWS API Gateway Domain does not use a modern security policy,72
AWS API Gateway REST API execution logging disabled,72
AWS API Gateway REST API not configured with AWS Web Application Firewall v2 (AWS WAFv2),67
AWS API Gateway Rest API attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,70
AWS API Gateway V2 has Access Logging is disabled,72
AWS API Gateway caching is disabled,71
AWS API Gateway endpoints without client certificate authentication,71
AWS API Gateway method lacking authorization or API keys,70
AWS API Gateway method settings do not enable caching,71
AWS API deployments do not enable Create before Destroy,68
AWS API gateway methods are publicly accessible,71
AWS API gateway request authorisation is not set,69
AWS API gateway request parameter is not validated,69
AWS Access Key detected in code,71
AWS Access key enabled on root account,70
AWS Access logging not enabled on S3 buckets,72
"AWS AdministratorAccess policy is used by IAM roles, users, or groups",69
AWS Administrators with IAM permissions are unused for 90 days,71
AWS Amazon Machine Image (AMI) infected with mining malware,69
AWS Amazon Machine Image (AMI) is publicly accessible,69
AWS Amazon RDS instances Enhanced Monitoring is disabled,71
AWS App Flow connector profile does not use Customer Managed Keys (CMKs),70
AWS App Flow flow does not use Customer Managed Keys (CMKs),70
AWS AppSync GraphQL API is authenticated with API key,67
AWS AppSync attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,70
AWS AppSync has field-level logging disabled,70
AWS AppSync is not protected by WAF,70
AWS AppSync not configured with AWS Web Application Firewall v2 (AWS WAFv2),68
AWS AppSync's logging is disabled,72
AWS Application Load Balancer (ALB) is not configured to drop HTTP headers,70
AWS Application Load Balancer (ALB) is not using the latest predefined security policy,74
AWS Application Load Balancer (ALB) not configured with AWS Web Application Firewall v2 (AWS WAFv2),69
AWS Appsync API Cache is not encrypted at rest,69
AWS Appsync API Cache is not encrypted in transit,68
AWS Athena Workgroup data encryption at rest not configured,73
AWS Aurora MySQL DB cluster does not publish audit logs to CloudWatch Logs,67
AWS Aurora PostgreSQL exposed to local file read vulnerability,67
AWS Auto Scaling group launch configuration configured with Instance Metadata Service hop count greater than 1,67
AWS Auto Scaling group launch configuration has public IP address assignment enabled,69
AWS Auto Scaling group launch configuration not configured with Instance Metadata Service v2 (IMDSv2),68
AWS Batch Job is defined as a privileged container,65
AWS Bedrock Custom model encrypted with Customer Managed Key (CMK) is not enabled for regular rotation,71
AWS Bedrock agent is not associated with Bedrock guardrails,68
AWS Certificate Manager (ACM) RSA certificate key length less than 2048,70
AWS Certificate Manager (ACM) contains certificate pending validation,72
AWS Certificate Manager (ACM) has certificates expiring in 30 days or less,69
AWS Certificate Manager (ACM) has certificates with Certificate Transparency Logging disabled,72
AWS Certificate Manager (ACM) has expired certificates,70
AWS Certificate Manager (ACM) has invalid or failed certificate,68
AWS Classic Load Balancer is in use for internet-facing applications,73
AWS Classic Load Balancer not configured to span multiple Availability Zones,72
AWS CloudFormation stack configured without SNS topic,69
AWS CloudFormation template contains globally open resources,75
AWS CloudFront attached WAFv2 WebACL is not configured with AMR for Log4j Vulnerability,71
AWS CloudFront distribution is using insecure SSL protocols for HTTPS communication,74
AWS CloudFront distribution with access logging disabled,73
AWS CloudFront distributions does not have a default root object configured,69
AWS CloudFront not configured with AWS Web Application Firewall v2 (AWS WAFv2),69
AWS CloudFront origin protocol policy does not enforce HTTPS-only,70
AWS CloudFront response header policy does not enforce Strict Transport Security,74
AWS CloudFront viewer protocol policy is not configured with HTTPS,68
AWS CloudFront web distribution using insecure TLS version,72
AWS CloudFront web distribution with AWS Web Application Firewall (AWS WAF) service disabled,71
AWS CloudFront web distribution with default SSL certificate,71
AWS CloudFront web distribution with geo restriction disabled,71
AWS CloudTrail S3 bucket encrypted with Customer Managed Key (CMK) that is scheduled for deletion,71
AWS CloudTrail S3 buckets have not enabled MFA Delete,67
AWS CloudTrail bucket is publicly accessible,70
AWS CloudTrail does not define an SNS Topic,68
AWS CloudTrail is not enabled on the account,72
AWS CloudTrail is not enabled with multi trail and not capturing all management events,72
AWS CloudTrail log validation is not enabled in all regions,75
AWS CloudTrail logging is disabled,72
AWS CloudTrail logs are not encrypted using Customer Master Keys (CMKs),73
AWS CloudTrail logs should integrate with CloudWatch for all regions,80
AWS CloudTrail trail logs is not integrated with CloudWatch Log,69
AWS CloudWatch Log groups not configured with definite retention days,70
AWS CloudWatch Log groups not encrypted by Customer Managed Key (CMK),70
AWS CloudWatch log groups retention set to less than 365 days,69
AWS Cloudfront Distribution with S3 have Origin Access set to disabled,68
AWS Cloudfront distribution is disabled,70
AWS Cloudsearch does not use HTTPs,68
AWS Cloudsearch does not use the latest (Transport Layer Security) TLS,73
AWS Code Artifact Domain is not encrypted by KMS using a Customer Managed Key (CMK),69
AWS CodeBuild project environment privileged mode is enabled,69
AWS CodeBuild project environment variables contain plaintext AWS credentials,67
AWS CodeBuild project not configured with logging configuration,72
AWS CodeGuru Reviewer repository association does not use a Customer Managed Key (CMK),68
AWS CodePipeline artifactStore is not encrypted by Key Management Service (KMS) using a Customer Managed Key (CMK),71
AWS Codecommit branch changes has less than 2 approvals,69
AWS Codecommit is not associated with an approval rule,71
AWS Cognito identity pool allows unauthenticated guest access,72
AWS Cognito service role does not have identity pool verification,70
AWS Cognito service role with wide privileges does not validate authentication,69
AWS Compute Instance (EC2/Lambda) Assigned CloudFormation Creation Permissions Which Could Lead to Privilege Escalation,66
AWS Compute Instance (EC2/Lambda) Assigned Glue DevEndpoint Creation Permissions Which Could Lead to Privilege Escalation,65
AWS Compute Instance (EC2/Lambda) Assigned IAM Policy Management Permissions Which Could Lead to Privilege Escalation,67
AWS Compute Instance (EC2/Lambda) Assigned Lambda Creation Permissions Which Could Lead to Privilege Escalation,66
AWS Compute Instance (EC2/Lambda) Assigned Permissions to Run EC2 Instances Which Could Lead to Privilege Escalation,66
AWS Config Recording is disabled,71
AWS Config fails to deliver log files,72
AWS Config must record all possible resources,81
AWS Connect instance not configured with contact flow logs,73
AWS Connect instance using publicly accessible S3 bucket,69
AWS Customer Master Key (CMK) rotation is not enabled,70
AWS DAX cluster endpoint does not use TLS (Transport Layer Security),70
AWS DAX cluster not configured with encryption at rest,72
AWS DB instance does not get all minor upgrades automatically,66
AWS DLM cross-region events are not encrypted,68
AWS DLM cross-region events are not encrypted with a Customer Managed Key (CMK),70
AWS DLM cross-region schedules are not encrypted using a Customer Managed Key (CMK),71
AWS DLM-cross region schedules are not encrypted,68
AWS DMS replication instance automatic version upgrade disabled,68
AWS DMS replication instance is publicly accessible,69
AWS DMS replication task for the source database have logging not set to the minimum severity level,75
AWS DMS replication task for the target database have logging not set to the minimum severity level,75
AWS Database Migration Service (DMS) has expired certificates,70
AWS Database Migration Service endpoint do not have SSL configured,70
AWS Default Security Group does not restrict all traffic,75
AWS Default VPC is being used,68
AWS DocumentDB Cluster is not enabled with data encryption in transit,73
AWS DocumentDB cluster deletion protection is disabled,70
AWS DocumentDB cluster does not publish audit logs to CloudWatch Logs,69
AWS DocumentDB clusters have backup retention period less than 7 days,70
AWS DocumentDB logging is not enabled,73
AWS DynamoDB encrypted using AWS owned CMK instead of AWS managed CMK,71
AWS DynamoDB table Auto Scaling not enabled,68
AWS DynamoDB table deletion protection is disabled,69
AWS DynamoDB table point-in-time recovery (PITR) disabled,69
AWS EBS Snapshot Copy not encrypted using Customer Managed Key,69
AWS EBS Snapshot with access for unmonitored cloud accounts,83
AWS EBS Volume is not encrypted by Key Management Service (KMS) using a Customer Managed Key (CMK),70
AWS EBS Volume not encrypted using Customer Managed Key,71
AWS EBS snapshots are accessible to public,70
AWS EBS volume region with encryption is disabled,72
AWS EBS volumes are not encrypted,69
AWS EC2 Auto Scaling Launch Configuration is not using encrypted EBS volumes,69
AWS EC2 Client VPN endpoints client connection logging disabled,72
AWS EC2 IAM role with Elastic IP Hijacking permissions,70
AWS EC2 Instance IAM Role not enabled,69
AWS EC2 Instance Scheduled Events,69
AWS EC2 Instance with AWS Organization management permissions,70
AWS EC2 Instance with IAM policy management permissions,71
AWS EC2 Instance with IAM write permissions,69
AWS EC2 instance detailed monitoring disabled,71
AWS EC2 instance is assigned with public IP,64
AWS EC2 instance not configured with Instance Metadata Service v2 (IMDSv2),68
AWS EC2 instance with data destruction permissions,69
AWS EC2 instance with database management write access permissions,71
AWS EC2 instance with network path from the internet (0.0.0.0/0),65
AWS EC2 instance with network path from the internet (0.0.0.0/0) on Admin ports,67
AWS EC2 instance with network path from the internet (0.0.0.0/0) on ports 80/443,66
AWS EC2 instance with network path from the untrust internet source on ports with high risk,69
AWS EC2 instance with network path to the internet (0.0.0.0/0),69
AWS EC2 instance with privilege escalation risk permissions,70
AWS EC2 instance with the creation of a new Group with attached policy permission,74
AWS EC2 instance with the creation of a new Role with attached policy permission,75
AWS EC2 instance with the creation of a new User with attached policy permission,71
AWS EC2 instances with public IP and associated with security groups have Internet access,74
AWS EC2 machine with defense evasion impact of aws security services permissions,72
AWS EC2 machine with write access permission to resource-based policies,71
AWS EC2 with IAM role attached has credentials exposure permissions,69
AWS EC2 with IAM role with alter critical configuration for s3 permissions,72
AWS EC2 with IAM role with destruction permissions for Amazon RDS databases,72
AWS EC2 with IAM wildcard resource access,72
AWS EC2 with access to read and decrypt Secret Manager Secrets,72
AWS EC2 with cloud log tampering permissions,75
AWS EC2 with write permission on critical configuration for s3,72
AWS EC2 with write permissions on security group,71
AWS ECR Repository is Publicly Accessible Through Resource-Based Policies,70
AWS ECR Repository not configured with a lifecycle policy,70
AWS ECR private repository tag mutable,67
AWS ECR private repository with cross-account access,74
AWS ECS Cluster does not enable logging of ECS Exec,75
AWS ECS Cluster instance volume encryption for data at rest is disabled,75
AWS ECS Fargate task definition root user found,69
AWS ECS IAM policy overly permissive to all traffic,72
AWS ECS Task Definition with AWS Organization management permissions,69
AWS ECS Task Definition with IAM policy management permissions,70
AWS ECS Task Definition with IAM wildcard resource access,72
AWS ECS Task Definition with IAM write permissions,70
AWS ECS cluster not configured with a registered instance,68
AWS ECS cluster not configured with active services,68
AWS ECS cluster with container insights feature disabled,69
AWS ECS services have automatic public IP address assignment enabled,71
AWS ECS task definition elevated privileges enabled,69
AWS ECS task definition is not configured with read-only access to container root filesystems,67
AWS ECS task definition logging configuration disabled,73
AWS EKS K8s service with network path from the internet (0.0.0.0/0),66
AWS EKS K8s service with network path from the internet (0.0.0.0/0) on ports 80/443,68
AWS EKS K8s service with network path from the untrust internet source on ports with high risk,69
AWS EKS cluster control plane assigned multiple security groups,73
AWS EKS cluster does not have secrets encryption enabled,71
AWS EKS cluster endpoint access publicly enabled,73
AWS EKS cluster public endpoint access overly permissive to all traffic,74
AWS EKS cluster security group overly permissive to all traffic,74
AWS EKS cluster using the default VPC,71
AWS EKS control plane logging disabled,69
AWS EKS node group have implicit SSH access from 0.0.0.0/0,68
AWS ELB Policy uses some unsecure protocols,69
AWS EMR Block public access setting disabled,72
AWS EMR Studio using the shadow resource bucket for workspace storage,74
AWS EMR cluster Master Security Group allows all traffic to port 8088,73
AWS EMR cluster is not configured with CSE CMK for data at rest encryption (Amazon S3 with EMRFS),72
AWS EMR cluster is not configured with Kerberos Authentication,70
AWS EMR cluster is not configured with SSE KMS for data at rest encryption (Amazon S3 with EMRFS),71
AWS EMR cluster is not configured with security configuration,74
AWS EMR cluster is not enabled with data encryption at rest,72
AWS EMR cluster is not enabled with data encryption in transit,72
AWS EMR cluster is not enabled with local disk encryption,72
AWS EMR cluster is not enabled with local disk encryption using Custom key provider,70
AWS EMR cluster is not enabled with termination protection,70
AWS ElastiCache Memcached cluster with in-transit encryption disabled,71
AWS ElastiCache Redis cluster automatic version upgrade disabled,67
AWS ElastiCache Redis cluster encryption not configured with CMK key,71
AWS ElastiCache Redis cluster is not configured with automatic backup,68
AWS ElastiCache Redis cluster with Multi-AZ Automatic Failover feature set to disabled,66
AWS ElastiCache Redis cluster with Redis AUTH feature disabled,69
AWS ElastiCache Redis cluster with encryption for data at rest disabled,73
AWS ElastiCache Redis cluster with in-transit encryption disabled (Replication group),70
AWS ElastiCache Redis with in-transit encryption disabled (Non-replication group),72
AWS ElastiCache cluster not associated with VPC,67
AWS ElastiCache cluster not using supported engine version,72
AWS Elastic Beanstalk Platform with AWS Organization management permissions,70
AWS Elastic Beanstalk Platform with IAM policy management permissions,71
AWS Elastic Beanstalk Platform with IAM write permissions,70
AWS Elastic Beanstalk environment logging not configured,72
AWS Elastic Beanstalk environment managed platform updates are not enabled,71
AWS Elastic File System (EFS) is not encrypted using Customer Managed Key,69
AWS Elastic File System (EFS) not encrypted using Customer Managed Key,70
AWS Elastic File System (EFS) with encryption for data at rest is disabled,72
AWS Elastic IP not in use,69
AWS Elastic Load Balancer (Classic) SSL negotiation policy configured with insecure ciphers,69
AWS Elastic Load Balancer (Classic) SSL negotiation policy configured with vulnerable SSL protocol,70
AWS Elastic Load Balancer (Classic) with access log disabled,71
AWS Elastic Load Balancer (Classic) with cross-zone load balancing disabled,66
AWS Elastic Load Balancer (ELB) has security group with no inbound rules,71
AWS Elastic Load Balancer (ELB) has security group with no outbound rules,71
AWS Elastic Load Balancer (ELB) not in use,67
AWS Elastic Load Balancer (ELB) with ACM certificate expired or expiring in 90 days,66
AWS Elastic Load Balancer (ELB) with IAM certificate expiring in 90 days,68
AWS Elastic Load Balancer v2 (ELBv2) SSL negotiation policy configured with weak ciphers,69
AWS Elastic Load Balancer v2 (ELBv2) listener that allow connection requests over HTTP,66
AWS Elastic Load Balancer v2 (ELBv2) load balancer with invalid security groups,69
AWS Elastic Load Balancer v2 (ELBv2) with access log disabled,70
AWS Elastic Load Balancer v2 (ELBv2) with cross-zone load balancing disabled,67
AWS Elastic Load Balancer v2 (ELBv2) with deletion protection disabled,67
AWS Elastic Load Balancer v2 (ELBv2) with listener TLS/SSL is not configured,66
AWS Elastic Load Balancer with listener TLS/SSL is not configured,68
AWS Elasticache replication group not configured with CMK key,68
AWS Elasticache security groups are not defined,75
AWS Elasticbeanstalk Platform with IAM wildcard resource access,73
AWS Elasticsearch IAM policy overly permissive to all traffic,74
AWS Elasticsearch does not have node-to-node encryption enabled,72
AWS Elasticsearch domain Encryption for data at rest is disabled,77
AWS Elasticsearch domain does not use an updated TLS policy,69
AWS Elasticsearch domain has Dedicated master set to disabled,67
AWS Elasticsearch domain has Index slow logs set to disabled,66
AWS Elasticsearch domain has Search slow logs set to disabled,67
AWS Elasticsearch domain has Zone Awareness set to disabled,67
AWS Elasticsearch domain is not configured with HTTPS,67
AWS Elasticsearch domain logging is not enabled,74
AWS Elasticsearch domain publicly accessible,71
AWS Elasticsearch is not configured inside a VPC,69
AWS Elasticsearch uses the default security group,77
AWS EventBridge event bus with no resource-based policy attached,69
AWS Execution Role ARN and Task Role ARN are different in ECS Task definitions,67
AWS FSX Windows filesystem is not configured with file access auditing,68
AWS FSX Windows filesystem not encrypted using Customer Managed Key,68
AWS FSX openzfs is not encrypted by AWS' Key Management Service (KMS) using a Customer Managed Key (CMK),69
AWS FSx for OpenZFS file systems not configured to copy tags to backups or volumes,71
AWS GitHub Actions OIDC authorization policies allow for unsafe claims or claim order,72
AWS Glue Data Catalog not encrypted by Customer Managed Key (CMK),71
AWS Glue Job not encrypted by Customer Managed Key (CMK),69
AWS Glue Job using the shadow resource bucket for script location,75
AWS Glue component is not associated with a security configuration,73
AWS Glue connection do not have SSL configured,66
AWS Glue security configuration encryption is not enabled,74
AWS Groups and IAM Roles with Administrative Permissions,75
AWS GuardDuty detector is not enabled,69
AWS HTTP and HTTPS target groups do not define health check,71
"AWS IAM AWSCloudShellFullAccess policy is attached to IAM roles, users, or IAM groups",70
AWS IAM Access analyzer is not configured,72
AWS IAM Groups and Roles with Excessive Policies,76
AWS IAM Groups and Roles with IAM Data Read permissions are unused for 90 days,73
AWS IAM Groups and Roles with IAM Data Write permissions are unused for 90 days,73
AWS IAM Groups and Roles with IAM Metadata Read permissions are unused for 90 days,73
AWS IAM Groups and Roles with IAM Metadata Write permissions are unused for 90 days,74
AWS IAM Groups with administrator access permissions,72
AWS IAM Password policy is unsecure,69
AWS IAM Policy permission may cause privilege escalation,69
AWS IAM Policy permission may cause privilege escalation - Accelerator_Catalyst,67
AWS IAM Roles with Administrator Access Permissions,72
AWS IAM SSH keys for AWS CodeCommit have aged more than 90 days without being rotated,71
AWS IAM User access - Catalyst,74
AWS IAM User with AWS Organization management permissions,70
AWS IAM User with IAM policy management permissions,70
AWS IAM User with IAM write permissions,69
AWS IAM configuration updates invoked from Kali Linux machine,69
AWS IAM configuration updates invoked from Parrot Security Linux machine,69
AWS IAM configuration updates invoked from Pentoo Linux machine,70
AWS IAM deprecated managed policies in use by User,70
AWS IAM effective permissions are over-privileged (7 days),69
AWS IAM effective permissions are over-privileged (90 days),68
AWS IAM group not in use,69
AWS IAM has expired SSL/TLS certificates,68
AWS IAM password policy allows password reuse,70
AWS IAM password policy does allow password reuse,70
AWS IAM password policy does not expire in 90 days,70
AWS IAM password policy does not have a lowercase character,68
AWS IAM password policy does not have a minimum of 14 characters,71
AWS IAM password policy does not have a number,68
AWS IAM password policy does not have a symbol,68
AWS IAM password policy does not have an uppercase character,68
AWS IAM password policy does not have password expiration period,68
AWS IAM policies that allow full administrative privileges are created,72
AWS IAM policy allows Privilege escalation via Codestar create project and associate team member permissions,71
AWS IAM policy allows Privilege escalation via EC2 Instance Connect permissions,70
AWS IAM policy allows Privilege escalation via EC2 describe and SSM list and send command permissions,71
AWS IAM policy allows Privilege escalation via EC2 describe and SSM session permissions,73
AWS IAM policy allows Privilege escalation via Glue Dev Endpoint permissions,71
AWS IAM policy allows Privilege escalation via PassRole & CloudFormation stack permissions,70
AWS IAM policy allows Privilege escalation via PassRole & CodeBuild permissions,69
AWS IAM policy allows Privilege escalation via PassRole & CodeStar project permissions,69
AWS IAM policy allows Privilege escalation via PassRole & Data Pipeline permissions,70
AWS IAM policy allows Privilege escalation via PassRole & EC2 permissions,69
AWS IAM policy allows Privilege escalation via PassRole & Glue create job permissions,68
AWS IAM policy allows Privilege escalation via PassRole & Glue development endpoint permissions,69
AWS IAM policy allows Privilege escalation via PassRole & Glue update job permissions,69
AWS IAM policy allows Privilege escalation via PassRole & Lambda create & invoke Function permissions,66
AWS IAM policy allows Privilege escalation via PassRole & Lambda create Function & Event source mapping permissions,66
AWS IAM policy allows Privilege escalation via PassRole & Lambda create Function & add permissions,67
AWS IAM policy allows Privilege escalation via PassRole & SageMaker create notebook permissions,68
AWS IAM policy allows Privilege escalation via PassRole & SageMaker create processing job permissions,68
AWS IAM policy allows Privilege escalation via PassRole & SageMaker create training job permissions,68
AWS IAM policy allows all principals used by any AWS service from target account to assume role,70
AWS IAM policy allows assume role permission across all services,74
AWS IAM policy allows decryption actions on all KMS keys,73
AWS IAM policy allows full administrative privileges,71
AWS IAM policy attached to AWS Lambda execution role is overly permissive,69
AWS IAM policy attached to users,75
AWS IAM policy documents allow * (asterisk) as a statement's action,68
AWS IAM policy documents do not allow * (asterisk) as a statement's action,68
AWS IAM policy is overly permissive to all traffic via condition clause,72
AWS IAM policy overly permissive to Lambda service,71
AWS IAM policy overly permissive to STS services,72
AWS IAM role allows all services or principals to be assumed,74
AWS IAM role/user with unused CloudTrail delete or full permission,65
AWS IAM support access policy is not associated to any role,73
AWS IAM user has both Console access and Access Keys,71
AWS IAM user has two active Access Keys,71
AWS IAM user is not a member of any IAM group,73
AWS Image Builder Distribution Configuration is not encrypting AMI by Key Management Service (KMS) using a Customer Managed Key (CMK),69
AWS Image Builder component not encrypted using Customer Managed Key,72
AWS Image Recipe EBS Disk are not encrypted using a Customer Managed Key (CMK),69
AWS Inactive users for 30 days,73
AWS Inactive users for 60 days,72
AWS Inactive users for 90 days,73
AWS Inactive users for more than 30 days,72
AWS KMS Customer Managed Key (CMK) is disabled,70
AWS KMS Key is Publicly Accessible Through Resource-Based Policies,69
AWS KMS Key policy overly permissive,71
AWS KMS Key scheduled for deletion,70
AWS KMS customer managed external key expiring in 30 days or less,69
AWS Kendra index Server side encryption does not use Customer Managed Keys (CMKs),72
AWS Keyspace Table does not use Customer Managed Keys (CMKs),69
AWS Kinesis Firehose Delivery Streams are not encrypted with CMK,69
AWS Kinesis Firehose with Direct PUT as source has SSE encryption disabled,68
AWS Kinesis Firehose's delivery stream is not encrypted,68
AWS Kinesis Video Stream not encrypted using Customer Managed Key,70
AWS Kinesis streams are not encrypted using Server Side Encryption,73
AWS Kinesis streams encryption is using default KMS keys instead of Customer's Managed Master Keys,72
AWS Kinesis streams encryption using default KMS keys instead of Customer's Managed Master Keys,73
AWS Lambda Function is not assigned to access within VPC,69
AWS Lambda Function resource-based policy is overly permissive,71
AWS Lambda Function with AWS Organization management permissions,67
AWS Lambda Function with IAM policy management permissions,70
AWS Lambda Function with IAM wildcard resource access,71
AWS Lambda Function with IAM write permissions,69
AWS Lambda Function with administrative permissions,69
AWS Lambda Function with data destruction permissions,70
AWS Lambda IAM policy overly permissive to all traffic,73
AWS Lambda Layer Version is Publicly Accessible Through Resource-Based Policies,69
AWS Lambda encryption settings environmental variable is not set properly,72
AWS Lambda execution role having overly permissive inline policy,68
AWS Lambda function URL AuthType set to NONE,67
AWS Lambda function URL having overly permissive cross-origin resource sharing permissions,66
AWS Lambda function communicating with ports known to mine Monero,70
AWS Lambda function is not configured for a DLQ,70
AWS Lambda function is not configured for function-level concurrent execution Limit,70
AWS Lambda function is not configured to validate code-signing,71
AWS Lambda function managed ENI reachable from any untrust internet source,69
AWS Lambda functions with tracing not enabled,69
AWS Lambda nearing availability code storage limit,71
AWS Lambda with IAM role attached has credentials exposure permissions,68
AWS Lambda with IAM role with Amazon RDS database SQL query execution permissions,68
AWS Lambda with write permission on critical configuration for s3,72
AWS Lambda with write permissions on security group,69
AWS Lateral Movement to Data Services Through Redshift Cluster Creation,73
AWS Lightsail Instance allows ingress from the internet,70
AWS Lightsail Instance does not restrict traffic on admin ports,69
AWS Lightsail Instance not configured with Instance Metadata Service v2 (IMDSv2),68
AWS Lightsail bucket Object Versioning is disabled,69
AWS Lightsail bucket accessible to unmonitored cloud accounts,73
AWS Lightsail bucket publicly readable,67
AWS Load Balancer is not using TLS 1.2,68
AWS Load Balancer uses HTTP protocol,69
AWS Load Balancers do not use strong ciphers,68
AWS Log metric filter and alarm does  not exist for management console sign-in without MFA,73
AWS Log metric filter and alarm does not exist for AWS Config configuration changes,75
AWS Log metric filter and alarm does not exist for AWS Config configuration changes - Accelerator_Catalyst,73
AWS Log metric filter and alarm does not exist for AWS Organization changes,75
AWS Log metric filter and alarm does not exist for AWS Security group changes,75
AWS Log metric filter and alarm does not exist for AWS management console authentication failures,76
AWS Log metric filter and alarm does not exist for AWS management console authentication failures - Accelerator Catalyst,73
AWS Log metric filter and alarm does not exist for CloudTrail configuration changes,76
AWS Log metric filter and alarm does not exist for CloudTrail configuration changes - Accelerator Catalyst,72
AWS Log metric filter and alarm does not exist for IAM policy changes,76
AWS Log metric filter and alarm does not exist for Network Access Control Lists (NACL) changes,75
AWS Log metric filter and alarm does not exist for Network Access Control Lists (NACL) changes - Accelerator_Catalyst,73
AWS Log metric filter and alarm does not exist for Network gateways changes,75
AWS Log metric filter and alarm does not exist for Network gateways changes - Accelerator_Catalyst,73
AWS Log metric filter and alarm does not exist for Route table changes,75
AWS Log metric filter and alarm does not exist for Route table changes - Accelerator_Catalyst,73
AWS Log metric filter and alarm does not exist for S3 bucket policy changes,74
AWS Log metric filter and alarm does not exist for S3 bucket policy changes - Accelerator_Catalyst,71
AWS Log metric filter and alarm does not exist for VPC changes,75
AWS Log metric filter and alarm does not exist for VPC changes - Accelerator_Catalyst,72
AWS Log metric filter and alarm does not exist for disabling or scheduled deletion of customer created CMKs,77
AWS Log metric filter and alarm does not exist for disabling or scheduled deletion of customer created CMKs - Accelerator_Catalyst,73
AWS Log metric filter and alarm does not exist for unauthorized API calls,77
AWS Log metric filter and alarm does not exist for unauthorized API calls - Accelerator_Catalyst,74
AWS Log metric filter and alarm does not exist for usage of root account,76
AWS MFA is not enabled on Root account,67
AWS MFA not enabled for IAM users,75
AWS MQ Broker is not encrypted by Customer Managed Key (CMK),69
AWS MQ is publicly accessible,68
AWS MQBroker audit logging is disabled,73
AWS MQBroker version is not up to date,68
AWS MQBroker's minor version updates are disabled,69
AWS MSK cluster encryption in transit is not enabled,73
AWS MSK cluster public access is enabled,71
AWS MSK clusters not configured with enhanced monitoring,73
AWS MWAA environment has scheduler logs disabled,72
AWS MWAA environment has webserver logs disabled,71
AWS MWAA environment has worker logs disabled,71
AWS MWS Auth Token detected in code,68
AWS Macie is not enabled,69
AWS MemoryDB data is not encrypted in transit,69
AWS MemoryDB is not encrypted at rest by AWS' Key Management Service KMS using CMKs,70
AWS NACL allows ingress from 0.0.0.0/0 to port 20,68
AWS NACL allows ingress from 0.0.0.0/0 to port 21,68
AWS NACL allows ingress from 0.0.0.0/0 to port 22,68
AWS NACL allows ingress from 0.0.0.0/0 to port 3389,68
AWS NAT Gateways are not being utilized for the default route,73
AWS NAT Gateways are not utilized for the default route,74
AWS Neptune Cluster not configured with IAM authentication,74
AWS Neptune DB cluster does not publish audit logs to CloudWatch Logs,66
AWS Neptune DB clusters have backup retention period less than 7 days,68
AWS Neptune cluster deletion protection is disabled,68
AWS Network ACL is not in use,69
AWS Network ACLs allow ingress traffic on Admin ports 22/3389,69
AWS Network Firewall delete protection is disabled,70
